cidades,vitimas,pib_2022,ibge_mortalidade_inf_2022,remun_real_media_2022,ibge_matricula_ef_anosfinais_2022,ibge_matricula_em_2022,população_2022,ibge_conect_rede_de_esgoto_2022,pop_graduada_2022,idade_media_2022,pop_preta_parda_2022,,pop_empregada_2022,,auxilio_gov_2022
abreu_e_lima,995,1443077,10.51,2697.42,3604,2947,98462,37.11%,5776,36,67203,68,10951,11,4352
afogados_da_ingazeira,437,485010,12.99,2515.53,2149,1334,40241,69.81%,3124,35,22933,57,4042,10,2130
afranio,50,190522,12.66,2331.55,980,838,18674,21.13%,881,34,10287,55,1728,9,2234
agrestina,271,328944,5.46,2026.53,1191,689,23779,71.42%,902,35,12917,54,1707,7,758
agua_preta,98,249536,17.19,2128.98,1500,748,26461,48.33%,1176,33,19005,72,2494,9,981
aguas_belas,194,369407,14.27,2092.22,4810,1682,41548,45.51%,1467,32,26040,63,2817,7,3786
alagoinha,82,139176,10.87,2165.29,864,523,13542,50.41%,794,36,8345,62,753,6,1452
alianca,310,398016,12.9,1979.38,1902,1228,35741,54.1%,1498,35,26338,74,3404,10,1518
altinho,163,208750,19.32,2141.66,758,742,20674,58.93%,1087,37,12779,62,1259,6,853
amaraji,94,282817,10.83,2149.20,1003,651,18205,63.25%,825,34,11225,62,1699,9,623
angelim,63,137746,7.94,2678.12,612,317,10241,57.88%,392,35,6539,64,766,7,268
aracoiaba,126,154357,42.55,2183.24,1325,696,19243,5.5%,451,32,15161,79,1713,9,339
araripina,692,1158163,11.02,2394.24,5022,3048,85088,42.57%,5637,32,63530,75,8172,10,4134
arcoverde,879,1070395,10.73,2490.77,3662,2758,77742,86.06%,8297,34,51677,66,9842,13,3249
barra_de_guabiraba,53,141169,6.58,2079.01,642,295,12263,62.64%,484,33,7675,63,1076,9,230
barreiros,206,461953,23.26,2087.66,2324,1990,40121,67.71%,2051,33,28930,72,5120,13,2626
belém_de_maria,71,95675,N/A,2546.17,686,409,10378,62.05%,413,35,6624,64,340,3,281
belem_de_sao_francisco,132,350174,27.03,2302.47,1050,724,18301,49.07%,1609,33,14572,80,2474,14,865
belo_jardim,543,2333039,13.79,2867.12,3773,2523,79507,74.49%,5879,34,51483,65,12242,15,3971
betania,57,101143,18.07,2366.86,692,545,11232,30.58%,352,35,8133,72,726,6,338
bezerros,528,861136,9.22,1955.55,2854,1957,61694,71.42%,3907,37,31380,51,11799,19,3118
bodoco,197,303460,15.09,2677.46,2177,957,34478,28.86%,1507,33,27067,79,1514,4,1607
bom_conselho,204,595342,27.54,2187.22,2634,1360,44294,57.25%,1831,35,31540,71,3187,7,2349
bom_jardim,176,346575,9.46,2084.80,1864,1074,37629,17.22%,1437,36,23416,62,2089,6,1439
bonito,227,501991,18.48,2082.95,2111,1825,37474,67.62%,1783,34,22241,59,3955,11,1500
brejao,84,171411,16.95,1879.93,663,364,9079,27.55%,348,33,6050,67,951,10,276
brejinho,55,80842,9.52,2269.78,539,288,7720,46.67%,352,36,5026,65,724,9,308
brejo_da_madre_de_deus,357,422947,14,3489.66,2280,1130,48648,63.01%,1374,33,30518,63,2657,5,1302
buenos_aires,102,128756,12.05,2283.66,871,464,12808,16.43%,522,34,8983,70,966,8,343
